HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,target,record
1105.398322851153,41.82099302649177,,,,,,,47.59468495627814,48.00560787090115,0.037833414581834104,0.043056592336341896,1102.7777777777778,45.30166666666648,0.0410795969773298,55.55555555555566,0.8786904055549428,1067.7777777777778,1144.4444444444443,26.41509433962264,62.264150943396224,1008.3333333333333,1194.4444444444443,7.571428571428571,78.125,1,114
1073.1818181818182,56.53766225805608,,,,,,,69.24250474047241,69.88496816079885,0.052682277411149246,0.06452075833504417,1080.5555555555554,49.42000000000022,0.04573573264781512,77.7777777777776,0.8165167113749667,1029.9999999999998,1114.4444444444446,30.909090909090907,65.45454545454545,930.5555555555555,1227.7777777777778,9.166666666666666,179.6875,1,114
1091.9753086419753,54.190962853637025,,,,,,,70.30701200856703,70.97538412364429,0.04962654597110909,0.06438516645216427,1090.2777777777776,47.36083333333318,0.043439235668789676,63.19444444444434,0.7707760763184441,1056.111111111111,1128.888888888889,40.74074074074074,70.37037037037037,961.1111111111111,1261.111111111111,9.0,156.25,1,114
1079.732510288066,67.64574044314837,,,,,,,85.09151566246689,85.90476418533824,0.06265046184920459,0.07880795924146528,1081.9444444444443,59.71583333333324,0.055193068035943434,77.77777777777783,0.7949763253892339,1036.1111111111113,1128.888888888889,44.44444444444444,61.111111111111114,933.3333333333334,1227.7777777777778,10.8,164.0625,1,114
1085.2201257861636,229.4050001178945,,,,,,,351.0627350234247,354.41951988254846,0.21139029277742813,0.32349449358866716,1102.7777777777778,57.65666666666636,0.05228312342569241,74.99999999999977,0.6534587047599553,1047.2222222222224,1144.4444444444443,60.37735849056604,79.24528301886792,466.6666666666667,1563.888888888889,10.6,625.0,1,114
1047.3214285714287,63.566300845452716,,,,,,,93.87529039051478,94.6975109100384,0.060694166195146664,0.08963369585454095,1044.4444444444443,49.42000000000022,0.04731702127659596,64.58333333333314,0.6771355974614967,1008.3333333333333,1086.111111111111,39.285714285714285,69.64285714285714,888.8888888888888,1311.111111111111,8.0,148.4375,1,114
1076.440329218107,173.8734837054759,,,,,,,262.8637818491921,265.378754556701,0.16152635588428038,0.2441972626946523,1069.4444444444443,61.77500000000011,0.057763636363636475,80.55555555555543,0.6614585032685449,1029.4444444444446,1138.888888888889,61.111111111111114,74.07407407407408,588.8888888888889,1377.7777777777778,9.0,476.5625,1,114
1097.4842767295595,81.51372414681359,,,,,,,105.99044465881985,107.02430478017098,0.07427325008219693,0.09657582063468402,1091.6666666666665,45.30166666666648,0.04149770992366395,58.333333333333485,0.769066724922269,1041.6666666666667,1129.4444444444443,37.735849056603776,60.37735849056604,897.2222222222223,1280.5555555555554,8.833333333333334,203.125,1,114
1062.323232323232,219.82292960645017,,,,,,,324.1825215372247,327.22574823123716,0.20692659533173502,0.305163731408056,1091.6666666666665,74.12999999999965,0.06790534351145007,91.66666666666652,0.6780838416706827,1018.3333333333333,1151.111111111111,47.27272727272727,74.54545454545455,538.8888888888889,1561.111111111111,13.75,523.4375,1,114
1042.2619047619048,81.13033238025612,,,,,,,85.17411361223334,85.93845452220377,0.07784063872006299,0.08172045166679155,1030.5555555555554,78.24833333333324,0.07592830188679237,110.41666666666663,0.9525233540980881,977.7777777777777,1108.3333333333335,33.92857142857143,64.28571428571429,891.6666666666667,1227.7777777777778,9.333333333333334,85.9375,1,114
933.994708994709,44.34272153167971,,,,,,,50.454673066518836,50.77098568004279,0.04747641619876768,0.05402029859550806,927.7777777777778,41.18333333333341,0.04438922155688631,50.0,0.8788625282185218,903.8888888888889,970.0,17.46031746031746,66.66666666666666,766.6666666666667,1027.7777777777776,9.0,156.25,1,114
968.9814814814813,135.87903142450165,,,,,,,91.02167076619085,91.79193356743907,0.14022871852695826,0.09393540795746406,1001.3888888888889,59.71583333333341,0.05963300970873794,76.38888888888891,1.4928206687563095,951.6666666666666,1048.3333333333333,41.66666666666667,73.33333333333333,475.0,1086.111111111111,12.0,523.4375,1,114
1021.5399610136453,68.60862227539302,,,,,,,76.26703845831975,76.92988607382942,0.06716195635392923,0.07465888890204757,1022.2222222222222,61.77499999999994,0.06043206521739125,80.55555555555554,0.8995841934112587,952.2222222222223,1065.5555555555557,28.07017543859649,70.17543859649122,891.6666666666667,1213.8888888888887,7.125,140.625,1,114
994.774011299435,42.24718442434311,,,,,,,48.1139049563533,48.53005802830818,0.042469127605331426,0.048366668620045634,988.8888888888889,41.18333333333341,0.04164606741573041,55.55555555555543,0.8780660073770314,960.0,1024.4444444444443,25.423728813559322,62.71186440677966,922.2222222222223,1105.5555555555557,8.428571428571429,70.3125,1,114
